,Year,Semi,Model
864,2070,42.0684798305634,HadGEM2-ES 8.5
865,2071,98.7019899879259,HadGEM2-ES 8.5
866,2072,109.477466880082,HadGEM2-ES 8.5
867,2073,49.2800559939805,HadGEM2-ES 8.5
868,2074,105.256646847215,HadGEM2-ES 8.5
869,2075,36.7284606608002,HadGEM2-ES 8.5
870,2076,52.3075935241314,HadGEM2-ES 8.5
871,2077,141.671562290743,HadGEM2-ES 8.5
872,2078,173.239684955646,HadGEM2-ES 8.5
873,2079,53.7589976170971,HadGEM2-ES 8.5
874,2080,177.370884448075,HadGEM2-ES 8.5
875,2081,138.730986350656,HadGEM2-ES 8.5
876,2082,25.3323803014057,HadGEM2-ES 8.5
877,2083,87.5588338684988,HadGEM2-ES 8.5
878,2084,20.3406116890365,HadGEM2-ES 8.5
879,2085,49.5681945861102,HadGEM2-ES 8.5
880,2086,43.9575824060789,HadGEM2-ES 8.5
881,2087,132.529349816394,HadGEM2-ES 8.5
882,2088,34.2912798753658,HadGEM2-ES 8.5
883,2089,62.4108817605626,HadGEM2-ES 8.5
884,2090,40.3768552353375,HadGEM2-ES 8.5
885,2091,150.522363807326,HadGEM2-ES 8.5
886,2092,102.892865652633,HadGEM2-ES 8.5
887,2093,49.1795540776529,HadGEM2-ES 8.5
888,2094,32.4493924816106,HadGEM2-ES 8.5
889,2095,77.77909343865,HadGEM2-ES 8.5
890,2096,144.759205570654,HadGEM2-ES 8.5
891,2097,40.6950914345958,HadGEM2-ES 8.5
892,2098,126.703799013412,HadGEM2-ES 8.5
893,2099,66.4010363888628,HadGEM2-ES 8.5
959,2016,233.608855668002,CANESM2 4.5
960,2017,174.606363667308,CANESM2 4.5
961,2018,33.9407839635711,CANESM2 4.5
962,2019,39.2055641755135,CANESM2 4.5
963,2020,126.0006242865,CANESM2 4.5
964,2021,32.6616917050398,CANESM2 4.5
965,2022,214.967800252878,CANESM2 4.5
966,2023,115.83569845013,CANESM2 4.5
967,2024,266.063343749535,CANESM2 4.5
968,2025,160.409911367432,CANESM2 4.5
969,2026,202.928219976498,CANESM2 4.5
970,2027,131.471702007402,CANESM2 4.5
971,2028,120.688047534607,CANESM2 4.5
972,2029,238.835799663545,CANESM2 4.5
973,2030,124.488290705068,CANESM2 4.5
974,2031,33.1647915412381,CANESM2 4.5
975,2032,188.382564537651,CANESM2 4.5
976,2033,186.675459309996,CANESM2 4.5
977,2034,160.389115490339,CANESM2 4.5
978,2035,46.3574839760512,CANESM2 4.5
979,2036,52.0667880297986,CANESM2 4.5
980,2037,209.822285541073,CANESM2 4.5
981,2038,46.34526134275,CANESM2 4.5
982,2039,72.6904793263237,CANESM2 4.5
983,2040,178.324567859241,CANESM2 4.5
984,2041,32.6244074976667,CANESM2 4.5
985,2042,190.667530392085,CANESM2 4.5
986,2043,47.9176467994451,CANESM2 4.5
987,2044,71.6450352778358,CANESM2 4.5
988,2045,171.066717600425,CANESM2 4.5
989,2046,247.845574455687,CANESM2 4.5
990,2047,222.113098495318,CANESM2 4.5
991,2048,104.044466519143,CANESM2 4.5
992,2049,107.846713844072,CANESM2 4.5
993,2050,55.7068033120595,CANESM2 4.5
994,2051,101.596642503068,CANESM2 4.5
995,2052,52.7573122630349,CANESM2 4.5
996,2053,65.9273647633874,CANESM2 4.5
997,2054,84.5920371001767,CANESM2 4.5
998,2055,88.3465834127865,CANESM2 4.5
999,2056,11.6043502108097,CANESM2 4.5
1000,2057,115.653982519653,CANESM2 4.5
1001,2058,48.7069969714736,CANESM2 4.5
1002,2059,162.3410659797,CANESM2 4.5
1003,2060,280.800642233085,CANESM2 4.5
1004,2061,166.572232543035,CANESM2 4.5
1005,2062,201.034310722113,CANESM2 4.5
1006,2063,128.319724341938,CANESM2 4.5
1007,2064,81.5623632031902,CANESM2 4.5
1008,2065,48.0077141794012,CANESM2 4.5
1009,2066,224.551142440865,CANESM2 4.5
1010,2067,361.40076061188,CANESM2 4.5
1011,2068,249.452878189769,CANESM2 4.5
1012,2069,142.80521218927,CANESM2 4.5
1013,2070,85.2832421927783,CANESM2 4.5
1014,2071,199.30506983447,CANESM2 4.5
